1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,NULL,82.86,NULL,NULL,NULL,NULL,NULL,2006
2,Super Mario Bros.,Platform,NULL,NES,Nintendo,Nintendo EAD,10,NULL,40.24,NULL,NULL,NULL,NULL,NULL,1985
3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.14,NULL,NULL,NULL,NULL,NULL,2008
4,PlayerUnknown's Battlegrounds,Shooter,NULL,PC,PUBG Corporation,PUBG Corporation,NULL,NULL,36.6,NULL,NULL,NULL,NULL,NULL,2017
5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,8,8.8,33.09,NULL,NULL,NULL,NULL,NULL,2009
6,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,9.4,NULL,31.38,NULL,NULL,NULL,NULL,NULL,1998
7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,NULL,NULL,NULL,NULL,NULL,2006
8,Tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,NULL,NULL,30.26,NULL,NULL,NULL,NULL,NULL,1989
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.22,NULL,NULL,NULL,NULL,NULL,2009
10,Minecraft,Misc,NULL,PC,Mojang,Mojang AB,10,NULL,30.01,NULL,NULL,NULL,NULL,NULL,2010
11,Duck Hunt,Shooter,NULL,NES,Nintendo,Nintendo R&D1,NULL,NULL,28.31,NULL,NULL,NULL,NULL,NULL,1985
12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,4.5,28.02,NULL,NULL,NULL,NULL,NULL,2007
13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,NULL,24,NULL,NULL,NULL,NULL,NULL,2010
14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,NULL,23.96,NULL,NULL,NULL,NULL,NULL,2005
15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,NULL,NULL,NULL,NULL,NULL,2005
16,Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak,9.2,NULL,23.1,NULL,NULL,NULL,NULL,NULL,2000
17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,NULL,22.67,NULL,NULL,NULL,NULL,NULL,2008
18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,8,NULL,21.13,NULL,NULL,NULL,NULL,NULL,2009
19,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,NULL,20.61,NULL,NULL,NULL,NULL,NULL,1991
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,NULL,NULL,20.32,6.37,9.85,0.99,3.12,2013
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,NULL,NULL,19.39,6.06,9.71,0.6,3.02,2014
22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,NULL,19.01,NULL,NULL,NULL,NULL,NULL,2006
23,Garry's Mod,Misc,NULL,PC,Unknown,Team Garry,NULL,NULL,18.58,NULL,NULL,NULL,NULL,NULL,2004
24,Super Mario Land,Platform,E,GB,Nintendo,Nintendo R&D1,NULL,NULL,18.14,NULL,NULL,NULL,NULL,NULL,1989
25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,NULL,18.11,NULL,NULL,NULL,NULL,NULL,2011
26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,NULL,17.67,NULL,NULL,NULL,NULL,NULL,2007
27,Grand Theft Auto: San Andreas,Action,M,PS2,Rockstar Games,Rockstar North,9.5,NULL,17.3,NULL,NULL,NULL,NULL,NULL,2004
28,Super Mario Bros. 3,Platform,E,NES,Nintendo,Nintendo R&D2,NULL,NULL,17.28,NULL,NULL,NULL,NULL,NULL,1990
29,Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak,8.9,9.7,16.37,NULL,NULL,NULL,NULL,NULL,2013
30,Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,Nintendo,Game Freak,8.8,NULL,16.22,NULL,NULL,NULL,NULL,NULL,2003
31,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,9.6,NULL,NULL,16.15,8.41,5.49,0.47,1.78,2002
32,Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,Game Freak,9,NULL,16.14,NULL,NULL,NULL,NULL,NULL,2016
33,Grand Theft Auto V,Action,M,X360,Rockstar Games,Rockstar North,NULL,NULL,NULL,15.86,9.06,5.33,0.06,1.42,2013
34,Pokemon Black / White Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,9,15.64,NULL,NULL,NULL,NULL,NULL,2011
35,Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,NULL,NULL,NULL,15.09,6.18,6.05,0.41,2.44,2015
36,Mario Kart 8 Deluxe,Racing,E,NS,Nintendo,Nintendo EPD,9.3,NULL,15.02,NULL,NULL,NULL,NULL,NULL,2017
37,Counter-Strike: Source,Shooter,M,PC,VU Games,Valve Software,9.3,NULL,15,NULL,NULL,NULL,NULL,NULL,2004
38,Sonic the Hedgehog,Platform,NULL,GEN,Sega,Sonic Team,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,1991
39,Gran Turismo 3: A-Spec,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,9.3,NULL,14.89,NULL,NULL,NULL,NULL,NULL,2001
40,Brain Age 2: More Training in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8,NULL,14.88,NULL,NULL,NULL,NULL,NULL,2007
